Time;ActivePower;RotorRPM;WindSpeed
2020-03-21 12:50:00+00:00;114.8649921;23.58725418;3.798747184
2020-03-21 13:00:00+00:00;163.7835417;32.64834622;4.197049872
2020-03-21 13:10:00+00:00;151.1178038;31.38771476;4.341158647
2020-03-21 13:20:00+00:00;200.2936122;39.40117989;4.452377544
2020-03-21 13:30:00+00:00;189.4971216;39.46496916;4.448889242
2020-03-21 13:40:00+00:00;195.8719684;39.41776838;4.491205981
2020-03-21 13:50:00+00:00;194.205585;39.10169058;4.529820789
2020-03-21 14:00:00+00:00;288.4352365;58.67010718;4.988029288
2020-03-21 14:10:00+00:00;362.2125306;73.15907122;5.60024985
2020-03-21 14:20:00+00:00;310.8828721;63.20447089;5.229473447
2020-03-21 14:30:00+00:00;740.2855206;75.24898179;6.277616489
2020-03-21 14:40:00+00:00;1656.384306;-31.94453072;9.056110444
2020-03-21 14:50:00+00:00;1716.898963;-43.87788153;9.131094105
2020-03-21 15:00:00+00:00;1686.030956;-49.67170489;9.925132806
2020-03-21 15:10:00+00:00;1718.70245;-48.28605778;9.919982806
2020-03-21 15:20:00+00:00;1714.155368;-38.808765;9.526841421
2020-03-21 15:30:00+00:00;1607.372561;270.0228714;8.842388361
2020-03-21 15:40:00+00:00;1385.581228;281.7648028;8.110416172
2020-03-21 15:50:00+00:00;1088.966204;224.0413612;7.381711447
2020-03-21 16:00:00+00:00;1267.496272;254.5326626;7.969836484
2020-03-21 16:10:00+00:00;1207.433589;243.9965389;7.952915363
2020-03-21 16:20:00+00:00;835.6038906;171.4188261;7.323594183
2020-03-21 16:30:00+00:00;577.85251;117.9398128;6.503420868
2020-03-21 16:40:00+00:00;696.3139317;140.3889486;6.771277583
2020-03-21 16:50:00+00:00;631.1980989;127.1403864;6.637877611
2020-03-21 17:00:00+00:00;693.4939824;139.0095194;6.536399812
2020-03-21 17:10:00+00:00;565.8085567;114.0602122;6.344879853
2020-03-21 17:20:00+00:00;452.7666142;92.65570495;5.380326153
2020-03-21 17:30:00+00:00;542.1632406;106.9020192;6.121199817
2020-03-21 17:40:00+00:00;626.0048005;128.8980023;6.271199879
2020-03-21 17:50:00+00:00;517.0535784;105.5100378;5.933689247
2020-03-21 18:00:00+00:00;478.4252467;97.46915794;5.985288661
2020-03-21 18:10:00+00:00;474.1852811;96.091812;5.81235535
2020-03-21 18:20:00+00:00;436.1308767;87.561716;5.571172089
2020-03-21 18:30:00+00:00;710.4128506;142.2174453;6.744294272
2020-03-21 18:40:00+00:00;634.3052674;129.8387179;6.323952484
2020-03-21 18:50:00+00:00;476.9516428;96.86302728;5.483844228
2020-03-21 19:00:00+00:00;425.75699;87.92479447;5.642736768
2020-03-21 19:10:00+00:00;524.9905426;105.6067165;5.886699821
2020-03-21 19:20:00+00:00;446.4083511;92.42455394;5.775510989
2020-03-21 19:30:00+00:00;332.45589;67.53447295;5.203826116
2020-03-21 19:40:00+00:00;331.6718928;66.83727917;5.310984037
2020-03-21 19:50:00+00:00;460.0009029;90.88802306;5.671818544
2020-03-21 20:00:00+00:00;359.7833267;73.301383;5.682999833
2020-03-21 20:10:00+00:00;258.2336158;51.56977605;5.011241937
2020-03-21 20:20:00+00:00;261.6643056;52.68936611;5.070955328
2020-03-21 20:30:00+00:00;263.1854095;52.9039648;5.064379795
2020-03-21 20:40:00+00:00;232.5287716;47.88448947;4.813031374
2020-03-21 20:50:00+00:00;204.6557472;40.8910435;4.581177583
2020-03-21 21:00:00+00:00;173.3799422;34.46997983;4.723149739
2020-03-21 21:10:00+00:00;160.9276158;31.99910726;4.461520863
2020-03-21 21:20:00+00:00;173.348525;34.01727633;4.567316506
2020-03-21 21:30:00+00:00;224.0880042;44.606568;4.877531347
2020-03-21 21:40:00+00:00;332.8281763;66.51815774;5.253168221
2020-03-21 21:50:00+00:00;204.3018159;42.39909;4.810620874
2020-03-21 22:00:00+00:00;83.79671026;17.47332516;3.738836642
2020-03-21 22:10:00+00:00;73.07733011;14.33484925;3.555544283
2020-03-21 22:20:00+00:00;25.54075985;6.192528823;3.092326195
2020-03-21 22:30:00+00:00;-7.232491337;-10.06134487;2.914678803
2020-03-21 22:40:00+00:00;-6.020745767;-11.29673944;2.844644322
2020-03-21 22:50:00+00:00;-5.648210605;-11.10279718;2.636136742
2020-03-21 23:00:00+00:00;-6.122477772;-11.20544244;2.480655444
2020-03-21 23:10:00+00:00;-5.783408884;-11.09317379;2.911478795
2020-03-21 23:20:00+00:00;-5.773696129;-11.34200438;3.039517488
2020-03-21 23:30:00+00:00;-6.679320176;-13.97419674;3.3175822
2020-03-21 23:40:00+00:00;20.16439186;2.880491663;3.312136726
2020-03-21 23:50:00+00:00;30.77493984;6.081841005;3.126547263
2020-03-22 00:00:00+00:00;40.05809556;8.050467653;3.167368247
2020-03-22 00:10:00+00:00;63.74419505;11.68565533;3.546526179
2020-03-22 00:20:00+00:00;31.27551281;6.361025321;3.065723365
2020-03-22 00:30:00+00:00;-8.279579753;-15.71611718;2.938815684
2020-03-22 00:40:00+00:00;-7.923722128;-14.32416461;3.223372122
2020-03-22 00:50:00+00:00;-6.253615989;-12.21116889;3.140826184
2020-03-22 01:00:00+00:00;-6.485111067;-12.42860875;3.215560956
2020-03-22 01:10:00+00:00;-6.075604517;-12.50578233;3.201610994
2020-03-22 01:20:00+00:00;-6.562653235;-12.67083997;2.8956528
2020-03-22 01:30:00+00:00;-6.468285847;-12.39272042;2.631889332
2020-03-22 01:40:00+00:00;-6.105501919;-12.388923;2.903512363
2020-03-22 01:50:00+00:00;-6.248086821;-12.48026005;2.619247279
2020-03-22 02:00:00+00:00;-6.713338078;-12.65835503;2.669927639
2020-03-22 02:10:00+00:00;-6.206227811;-12.66480211;2.734294294
2020-03-22 02:20:00+00:00;-6.158195139;-12.86556494;2.565772106
2020-03-22 02:30:00+00:00;-6.230742353;-10.67247184;2.845520921
2020-03-22 02:40:00+00:00;1.232384378;-5.950289;2.718955433
2020-03-22 02:50:00+00:00;-5.447369732;-10.35256426;2.336163068
2020-03-22 03:00:00+00:00;-6.065361356;-10.35011575;2.613760983
2020-03-22 03:10:00+00:00;-5.656365222;-10.26336706;2.700111011
2020-03-22 03:20:00+00:00;-5.297208884;-10.13462516;2.396720932
2020-03-22 03:30:00+00:00;-5.216883922;-10.03218781;1.882566587
2020-03-22 03:40:00+00:00;-5.380200942;-9.808037975;2.323454885
